Site_ID,Parent_ID,Code,Display_No,CISARK_No,Name,Function,Importance,Building_Type_Label,Composition,Condition,Stand_in,Dimension,Inscription,Stone_object,Description,Detail_web,UTM_E,UTM_N,Notes
M023,,M023,S14,,No name,,A3,Ruined Shrine within Complex,Single shrine but possibly belongs to Prasat Yeai Poeun,Remain with the platform and steps,Forest,,None,495,Lowest part of the platform and steps in front of the door opening remains. A large pond that is embanked by laterite block is located in front of this shrine.,details/M023.html,504728,1422317,
M024,,M024,M.24_Pr. Yeai Poeun,201,Prasat Yeai Poeun,,A1,Temple Complex,Large complex,,,,,,"One of the three most important temple complexes. This temple is surrounded by two enclosure walls. An earthen dike, causeway for this temple, extended east direction from the east gate to the Kampong Chhuteal village about 2.5km in length.",details/M024.html,504481,1422149,
S1,M024,S1,S1,,,Central shrine,A2,Shrine within Complex,,Remain with the top of the roof part,,,K.607-611,"447-450, 469-489","Several old photographs recorded the work of soil clearance and tree cutting works surrounding this shrine in 1927. Pedestal in the chamber was also assembled in the same year, but the pedestal was destroyed again during the conflict period in 1970s to 1980s. This shrine stands on the rectangular terrace at 1.5m height. Terrace is floored by sandstone pavement and sandstone steps at four coordinal directions. West step and moonstone of the terrace are largely disturbed. This is one of the largest structures in this group of monuments. Total height of this shrine from the top level of the terrace is approximately 21m. Another high shrine, the central shrine of Prasat Tao is almost same height at present condition. Three tiers of roof part remained with fruitful decoration. Plan of this shrine is rectangular with two projections at each side. East-West dimension is approx. 15m, and north-south is 12m. Interior space is 9m east-west and 5m north-south. Interior wall is also decorated pilasters. Only S2 and C1 shrines have interior pilaster except for this shrine. Style of the lintel is unique and not a typical Sambor Prei Kuk style. Faces of several figures in the east lintel were destroyed the past half century while old photograph represent these faces. West lintel was transferred to the National museum in Phnom Penh. Decorative surface at the Flying Palace and pediment are destroyed and changed the design by stucco in later period, or applied the stucco motif since the initial construction time. Figures in each edicule decoration at the upper tier remain. Small holes are observed on the wall the same as N13 shrine, but the function is unknown. Holes are aligned at three levels. Worshippers have to climb up the steps and pass the entrance door and again declined the steps and moonstone to enter the main chamber. This kind of largely up and down access is one of the features of some shrines in this temple complex. Excavation survey of the looted hole was carried out in 2004. Then, unearthed pedestal fragments were assembled at the center of main chamber. Because two more unidentified pedestal layers were left, we set them behind the assembled central pedestal. In 2024, restoration works were carried out by the National Authority for Sambor Prei Kuk. Along with the restoration investigation, excavations were conducted around the base of the building, and consolidation work was also carried out on the exposed terrace remains.",details/S1.html,504521,1422253,
S2,M024,S2,S2,,,Shrine with Nandi Mandapa,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,K.442,"84, 451","This shrine is rectangular plan and open two directions to east and west. Exterior brick is heavy damaged and composition of the elevation is not identified. Sandstone pedestal with pillars and canopy, called Manadapa, is a masterpiece of the Pre-Angkor artistry, and is installed in this shrine. Excavation survey under the Mandapa pedestal was conducted in 2004, because looted hole was opened there. Unfortunately, west half of this shrine collapsed in August 2006. Mandapa pedestal also severely damaged under the fallen brick roof. Restoration of the stone pedestal and install the temporary supports to the brick structure was conducted by Ministry of Culture and Fine Arts in 2007. Then, permanent support and roofing structure was installed in 2012 by Ministry of Culture and Fine Arts. In 2024, repair works were carried out by the National Authority for Sambor Prei Kuk. As part of these works, the former protective shelter covering the entire building was removed and replaced with a new protective structure covering only the interior of the shrine.",details/S2.html,504580,1422257,
S3,M024,S3,S3,,,East gate of the inner enclosure,A4,Other Structure within Complex,,Remain with the upper half of the roof part,,,None,490,"A looted hole dug from the eastern side of this shrine was documented by the Ministry of Culture and Fine Arts in the 1990s. Branches were cut by SCP in 2003. In the early 2020s, repair works were carried out by the National Authority for Sambor Prei Kuk, and the trees entangled with the building were removed.",details/S3.html,504620,1422260,
S4,M024,S4,S4,,,South gate of the inner enclosure,A4,Other Structure within Complex,,Remain with the upper half of the wall and platform,,,None,None,Same plan as east gate S3 but the outer (south) door is closed by brick work and this gate was closed to worshippers. Cutting the dangerous tree nearby shrine in 2005 by SCP.,details/S4.html,504545,1422172,
S5,M024,S5,S5,,,West gate of the inner enclosure,A4,Other Structure within Complex,,Remain with the lower half of the wall and platform,,,K.612,359,Round decorations (medallion) are well preserved on the enclosure wall beside this gate.,details/S5.html,504462,1422248,
S6,M024,S6,S6,,,North gate of the inner enclosure,A4,Other Structure within Complex,,Remain with the upper half of the wall but covered by the accumulated brick,,,None,None,"It is probably that the outer door was closed the same as the south gate, though the door is visible due to the collapsed brick mound.",details/S6.html,504534,1422332,
S7,M024,S7,S7,,,South-west sub shrine,A2,Shrine within Complex,,Remain with the top of the roof part,,,None,None,"This shrine is an octagonal plan. Three tiers of roof part remain. Figure motif in Flying Palace was not destroyed. No pedestal elements were found in the chamber. Brick wall was previously installed for supporting the interior lintel, and accumulation soil around the shrine was removed by EFEO. Platform of a rectangular building with stone steps at the west side was unearthed by the past excavation survey in 1920s. This structure is again covered by soil and not visible today. Installation of the temporary tie support in 2006 by SCP. One of the old photos shows the very well preserved and sophisticated lintel probably from S7 shrine.",details/S7.html,504504,1422217,
S8,M024,S8,S8,,,North-west sub shrine,A2,Shrine within Complex,,Remain with the top of the roof part,,,None,"358, 493, 494","This shrine stands on the terrace with steps and moonstone at east side. Plan of the shrine is octagonal, but dimension and thickness of the wall is different from the symmetrical positioned S7 shrine. Four tiers of roof part remain. Figure motif in Flying Palace was totally destroyed. Some fragments of the pedestal remain in the chamber. Accumulation soil around the shrine was removed by EFEO and beautiful decoration is observed. Installation of the temporary tie support in 2006 by SCP.",details/S8.html,504500,1422285,
S9,M024,S9,S9,,,North sub shrine,A2,Shrine within Complex,,Remain with the lower half of the roof part,,,None,79,Roof of this shrine is largely collapsed and fallen brick are accumulated around platform and in the chamber. Plan of the shrine is octagonal and faces to the west. There is no symmetrical positioned shrine at the south side. Figure motif in Flying Palace was totally destroyed.,details/S9.html,504537,1422287,
S10,M024,S10,S10,,,North-east sub shrine,A2,Shrine within Complex,,Remain with the lower half of the roof part,,,None,348,"Plan of the shrine is octagonal. Roof of this shrine is largely collapsed and fallen bricks are accumulated around platform. Figure motif in Flying Palace was destroyed but some of them remained, and finishing stucco also partially remains. Flying Palace at the west wall is a single survival of stucco on the figure’s head in this temple complex. Several holes are observed on the east projected pilaster probably for supporting the beam of wooden front chamber in the later period. S11 is the other shrine which remains the pilaster beside the door opening and the symmetrical positioned building, but no hole was observed. Temporary tie support was Installed in 2006 by SCP. Interior floor was cast by concrete in 2007 by Ministry of Culture and Fine Arts.",details/S10.html,504577,1422289,
S11,M024,S11,S11,,,South-east sub shrine,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,None,"81, 457","Plan of the shrine is octagonal, but dimension is slightly larger than the symmetrical positioned S10 shrine. Three or four tiers of roof part remain, but the surface brick was largely missed. Figure motif in Flying Palace was destroyed except for a few exceptions. Fragments of the round pedestal were assembled and reset in the chamber, and installed the roofing structure with wood and roof tile in 2009 by Ministry of Culture and Fine Arts. Pedestal was perfectly reassembled by four stone layers including one yoni plate with drainage projection (Snanadroni). But no deity image was found.",details/S11.html,504581,1422221,
S15,M024,S15,S15,,,East gate of the outer enclosure,A4,Other Structure within Complex,,Remain with the lower wall and platform with stone elements of door frame,,,K.440,"65, 459, 460, 462, 463, 491","In 2025–2026, the National Authority for Sambor Prei Kuk conducted excavation and restoration works.",details/S15.html,504684,1422265,
S16,M024,S16,S16,,,West gate of the outer enclosure,A4,Other Structure within Complex,,Remain only door frame,,,K.441,None,"Large tree had fallen on this structure, and upper frame and north jamb were broken in November 2011. South door jamb with important inscription (K.441) remained fortunately with small damage. One of the well conserved lintels which provenance was estimated to S16 was recorded in old photo.",details/S16.html,504424,1422245,
S17-1,M024,S17-1,S17-1,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Remain with the lower half of the wall and platform,,,None,"496, 497",This shrine is the best conserved structures in S17 shrines between inner and outer enclosure. Accumulation soil was removed by EFEO and decoration of the platform is well observed. Round shape of the pedestals with beautiful curving were scattered in and around this shrine. These broken pedestals were repaired and surveyed in the chamber in 2007-2008 by SCP. Repaired pedestal is temporary kept at the outside of this shrine. Floor of this chamber is also re-paved by new brick.,details/S17-1.html,504641,1422222,
S17-2,M024,S17-2,S17-2,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Remain with the lower half of the wall and platform,,,None,None,Accumulation soil was removed by EFEO. Cutting the dangerous trees nearby this shrine by SCP.,details/S17-2.html,504643,1422194,
S17-3,M024,S17-3,S17-3,,,Small shrine inside of the outer enclosure,A3,Ruined Shrine within Complex,,Remain with the lower half of the wall and platform,,,None,None,Accumulation soil of the southern half and interior space was removed by EFEO.,details/S17-3.html,504646,1422167,
S17-4,M024,S17-4,S17-4,,,Small shrine inside of the outer enclosure,A3,Ruined Shrine within Complex,,Remain with the lower half of the wall and platform,,,None,498-501,Shrines from S17-4 to S17-9 are made of laterite. Accumulation soil was removed by EFEO. Looted hole remains very deep and original pit wall is visible..,details/S17-4.html,504440,1422271,
S17-5,M024,S17-5,S17-5,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Remain with the lower end of the wall and looted hole,,,None,498-501,Accumulation soil was removed by EFEO. Laterite size is small as brick. Looted hole remains very deep.,details/S17-5.html,504437,1422348,
S17-6,M024,S17-6,S17-6,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Remain with the upper half of the wall and looted hole,,,K.604,"63, 80",Important jamb with inscription was found. Accumulation soil was removed by EFEO. Laterite size is larger than S17-5.,details/S17-6.html,504573,1422355,
S17-7,M024,S17-7,S17-7,,,Small shrine inside of the outer enclosure,A3,Ruined Shrine within Complex,,Remain with the low end of the wall and platform,,,None,506-509,Accumulation soil was removed by EFEO. Laterite size is small as S17-5.,details/S17-7.html,504630,1422357,
S17-8,M024,S17-8,S17-8,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Mound without brick and laterite,,,None,None,On one excavated this mound and never confirmed the structure. We can only estimate an existence of shrine as other S17 group.,details/S17-8.html,504633,1422332,
S17-9,M024,S17-9,S17-9,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Remain with the low end of the wall and platform,,,None,None,Accumulation soil was removed by EFEO. Platform of square shrine and sandstone of steps and door frame remain.,details/S17-9.html,504635,1422301,
S18-3,M024,S18-3,S18-3,,,North-west corner turret of the inner enclosure,A4,Other Structure within Complex,,Remain with the upper half of the wall and platform,,,None,"510, 511",This structure is the best condition among four corner turrets. There is no interior space. Outer two sides are decorated as false door and steps remain at the west side. This structure was not completed because of the findings of an incomplete lintel.,details/S18-3.html,504459,1422327,
M025,,M025,S13,3515,None,,B2,Ruined Independent Structure,Single shrine possibly belongs to Prasat Yeai Poeun,Mound with brick,Forest,"H: 2.0, NS: 10, EW: 12 (m)",None,None,Lower structure may remain in the accumulated brick because the mound is relatively tall. A part of brick structure appears at the southwest side.,details/M025.html,504341,1422192,
M026,,M026,M.26_Pr Tao,1645,Prasat Tao,,A1,Temple Complex,Large complex,,,,,,"One of the three most important temple complexes. This temple is surrounded by two enclosure walls. There are no north and south gates at both enclosures. One rectangular pond with laterite embankment is located at the northeast corner in the outer enclosure. No inscriptions or sculptures have been discovered at Prasat Tao, and no excavation surveys have been conducted in the past. Therefore, there are only weak grounds for dating the C1 shrine, but it is generally thought to have been built in the 9th century, during the reign of Jayavarman II, who founded the Angkor Empire. This is because the decorative style of the decorative lintels and colonnettes in the central shrine is that of the Kampong Preah style, which appeared in the later years of the pre-Angkor period, and because the sculptural style of lion images protecting the openings resembles the lion images in Phnom Kulen, where the royal capital is said to have been located in the 9th century (Stern, 1938; Remusat, 1940).",details/M026.html,504143,1422400,
C1,M026,C1,C1,,,Central shrine,A2,Shrine within Complex,,Remain with the top of the roof part,,,None,134-136,"This is the only single well preserved structure that still stands in sound condition in this temple complex. This shrine may stand on the elevated terrace, but no brick structure and stone step are presently confirmed. Plan of this shrine is rectangular with one projection for each side. Dimension of plan is smaller than S1 shrine, and E-W direction is approx. 15m and N-S direction is approx. 12m. Height of this tower is about 21m almost same as S1 shrine, but both of the upper most structure are collapsed and original height is not identified. Three tiers of roof structure remained. Originally a set of lion statues stood on the side stone of steps for three sides except for west step. We can confirm these lions only on the east side today. Among the decorative lintels, the lintel on the east side of the front face is rough and appears incomplete. However, as careful observation reveals a number of small holes in the lintel at regular intervals, metallic decorative pieces had probably been inserted in the small holes to embellish the surface of the stone element. No other examples like this have been found at the Angkor monuments. Style of the decorative lintels and colonnettes at the other sides is that of the Kampong Preah style. The brick masonry displays a technique whereby a sandstone plate is inserted below the Flying Palace and other extended tiers, as well as variations in masonry technique that are more sophisticated than other temples. There are no detailed decorations in the Pediment, Pilaster and Flying Palace, even in the edicules at upper layers. Finishing stucco may have been applied for molding the decorative motif. There are only fragments of small pedestal in the chamber. Pilaster are regularly projected on interior wall as same as S1 and S2 shrines. Ministry of Culture and Fine Arts carried out the restoration works; filling the looted hole, installation of RC support for east door opening, and reconstruct the side wall of east steps and lions. From 2022 to 2023, investigations of the interior were carried out by the National Authority for Sambor Prei Kuk. These investigations revealed the presence of a large square subterranean chamber-like space beneath the floor. In addition, restoration works were conducted up to 2025. As part of these works, excavations were carried out around the northern step area of the building, revealing terrace remains that raised the shrine one level above the surrounding ground. Conservation and repair works were also carried out, including treatment of the exposed terrace remains.",details/C1.html,504164,1422498,
C10,M026,C10,C10,,,East gate of the inner enclosure,A4,Other Structure within Complex,,Remain as a small mound,,,None,None,None,details/C10.html,504245,1422502,
C11,M026,C11,C11,,,West gate of the inner enclosure,A4,Other Structure within Complex,,Mound with brick and laterite,,,None,None,None,details/C11.html,504097,1422498,
C12,M026,C12,C12,,,East gate of the outer enclosure,A4,Other Structure within Complex,,Mound with brick and some stone elements,,,None,None,Some pieces of the stone door frame are scattered. Excavation and restoration works were carried out by the National Authority for Sambor Prei Kuk.,details/C12.html,504343,1422501,
C13,M026,C13,C13,,,West gate of the outer enclosure,A4,Other Structure within Complex,,Mound with brick and some stone elements,,,None,None,Partially north wall remains.,details/C13.html,504059,1422497,
C14-1,M026,C14-1,C14-1,,,East southern library inside the inner enclosure,A3,Ruined Shrine within Complex,,Mound with laterite blocks,,,None,None,None,details/C14-1.html,504217,1422487,
C14-2,M026,C14-2,C14-2,,,East northern library inside the inner enclosure,A3,Ruined Shrine within Complex,,Mound with laterite blocks,,,None,None,"Some of the laterite blocks are cylindrical shape, and the round depression for supporting the column is confirmed on the laterite block.",details/C14-2.html,504216,1422510,
C15-1,M026,C15-1,C15-1,,,West southern library inside the inner enclosure,A3,Ruined Shrine within Complex,,Mound with laterite blocks,,,None,None,"This is a set of structure of symmetrical positioned C15-2. It is closed to the west gate of inner enclosure, and possible connecting structure. Many cylindrical shaped laterite blocks are scattered, and platform is partially confirmed. Probably two lines of laterite columns existed.",details/C15-1.html,504111,1422487,
C15-2,M026,C15-2,C15-2,,,West southern library inside the inner enclosure,A3,Ruined Shrine within Complex,,Mound with laterite blocks,,,None,None,"Some of the laterite blocks are cylindrical shaped, and some are cut off both sides of the cylindrical shape. Laterite platform is partially confirmed.",details/C15-2.html,504110,1422508,
C16,M026,C16,C16,,,Rectangle building inside the inner enclosure,A3,Ruined Shrine within Complex,,Mound with laterite blocks,,,None,None,This was a long building in an east-west direction. Laterite wall partially remains at east side.,details/C16.html,504123,1422442,
C17-1,M026,C17-1,C17-1,,,Southern library inside of the outer enclosure,A3,Ruined Shrine within Complex,,Mound with brick and laterite blocks,,,None,None,"This is a set of structure of symmetrical positioned C17-2. Many cylindrical shaped laterite blocks are scatted, 60-65cm in diameter and 35-40cm in height.",details/C17-1.html,504296,1422481,
C17-2,M026,C17-2,C17-2,,,Northern library inside of the outer enclosure,A3,Ruined Shrine within Complex,,Mound with brick and laterite blocks,,,None,None,"Many cylindrical shaped laterite blocks are scatted, 55cm in diameter and 40cm in height.",details/C17-2.html,504295,1422522,
C18-1,M026,C18-1,C18-1,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Mound with brick,,,None,None,This is a set of structure of symmetrical positioned C18-6.,details/C18-1.html,504261,1422476,
C18-2,M026,C18-2,C18-2,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Mound with brick and looted hole,,,None,"443, 444",Looted hole opening at the top of mound is 2.7m deep. Long sandstone elements (probably door flame) are scatted on the mound.,details/C18-2.html,504261,1422436,
C18-3,M026,C18-3,C18-3,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Mound with brick,,,None,"443, 444",None,details/C18-3.html,504076,1422521,
C18-4,M026,C18-4,C18-4,,,Small shrine inside of the outer enclosure,A2,Shrine within Complex,,Mound with brick and looted hole,,,None,"445, 446",Looted hole is 2.9m deep.,details/C18-4.html,504130,1422600,
C18-5,M026,C18-5,C18-5,,,Small shrine inside of the outer enclosure,A3,Ruined Shrine within Complex,,Mound with brick and looted hole,,,None,None,Deep looted hole is 3.5m in depth. Original pit wall is confirmed.,details/C18-5.html,504194,1422602,
C18-6,M026,C18-6,C18-6,,,Small shrine inside of the outer enclosure,A3,Ruined Shrine within Complex,,Mound with brick,,,None,None,Brick wall partially appears on the mound (east and north sides).,details/C18-6.html,504258,1422513,
M027,,M027,M.27,3513,No name,,A1,Temple Complex,"3 shrines in north-south alignment (C7-1,2,3) and another northern shrine (C7-4)",,,,,,"Parmentier recorded only the central shrine (C7-2). This group locates approx. 130m west from Prasat Sambor temple complex. Present road crosses between three shrines C7-1, 2, 3 and C7-4. It is uncertain that the C7-4 belongs to the same temple complex.",details/M027.html,504305,1422921,
N7-1,M027,N7-1,N7-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with brick,,None,None,North shrine,Upper structure is completely missing.,details/N7-1.html,504280,1422942,
N7-2,M027,N7-2,N7-2,,,Central shrine,A2,Shrine within Complex,,Remain with the upper half of the wall and platform,,None,None,None,"This shrine has a rectangular plan without projections on three sides except for the east. The exterior wall of the main chamber is simply flat, with only pilasters, while the eastern projecting wall is decorated with Flying Palaces. In 2026, restoration work was carried out by the National Authority for Sambor Prei Kuk.",details/N7-2.html,504282,1422915,
N7-3,M027,N7-3,N7-3,,,South shrine,A3,Ruined Shrine within Complex,,Mound with brick,,None,None,North shrine,Upper structure is completely missing.,details/N7-3.html,504286,1422892,
N7-4,M027,N7-4,N7-4,,,Far north shrine,A3,Ruined Shrine within Complex,,Mound with brick,,None,None,North shrine,This building stands just aside the road. It is not certain whether this shrine belongs in this group or stands alone.,details/N7-4.html,504270,1422967,
M028,,M028,M.28,3512,None,,B3,Mound / Structural Remains,Single shrine or complex with shrine M029 and M030,"Mound with brick, laterite and some stone elements",Forest,"H: 1.3, NS: 11, EW: 13 (m)",None,None,This is an unexcavated mound with small amount of laterite and brick. One piece of sandstone that is assumed to be the door frame is found on the mound.,details/M028.html,504101,1422853,
M029,,M029,M.29,3512,None,,B3,Mound / Structural Remains,Single shrine or complex with shrine M028 and M030,"Mound with brick, laterite and some stone elements",Forest,"H: 1.5, NS: 10, EW: 15 (m)",None,560-563,This is an unexcavated mound with brick and laterite (the ratio of laterite is less than brick). Some sandstone elements such as pedestal and door frame remain on the mound.,details/M029.html,504065,1422850,
M030,,M030,M.30,3512,No name,,B2,Ruined Independent Structure,Single shrine or complex with shrine M028 and M029,Remain with the upper half of the wall and platform,Forest,,None,None,Plan of this shrine is rectangular and open to east. Floral decoration is engraved on each pilaster. Inside is disturbed by looted work. There is one bomb crater at the southwest corner.,details/M030.html,504064,1422801,
M031,,M031,M.31,3517,No name,,A1,Temple Complex,Single shrine or 3 shrines in enclosure wall,,,,,,,details/M031.html,503991,1422894,
C9-1,M031,C9-1,C9-1,,,Main shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and some stone elements",,,None,442,"This is the eastern mound that is located in one complex of three buildings standing in a triangular position. This mound makes a set with two other mounds located in a SW and NW direction. This group seems to be surrounded by an enclosure wall. This is an unexcavated mound with laterite and brick (small amount of brick only). At the northwest edge of mound, one layer of a round shape of pedestal was found, and one piece of sandstone door frame was confirmed at the east edge of mound.",details/C9-1.html,503999,1422894,
C9-2,M031,C9-2,C9-2,,,South-west sub shrine or corner of enclosure,A3,Ruined Shrine within Complex,,Mound with brick and laterite,,,None,None,This is an unexcavated mound with laterite and brick. A big tree stands on this mound. One laterite mound is confirmed 5m away toward the northwest direction.,details/C9-2.html,503984,1422885,
C9-3,M031,C9-3,C9-3,,,North-west sub shrine or corner of enclosure,A3,Ruined Shrine within Complex,,Mound with laterite,,,None,None,This is an unexcavated mound with laterite. A partial laterite wall 40cm in height at the west remains. There is one bomb crater about 10m to west.,details/C9-3.html,503986,1422904,
M032,,M032,M.32,3511,None,,B3,Mound / Structural Remains,Single shrine,Mound with few brick,Forest,"H: 0.5, NS: 10, EW: 8 (m)",None,None,This is an unexcavated mound with a few brick fragments.,details/M032.html,503982,1422594,
M033,,M033,M.33,3511,None,,B2,Ruined Independent Structure,Single shrine,Mound with brick and looted hole,Forest,"H: 1.5, NS: 8, EW: 8 (m)",None,None,"This shrine locates the symmetrical position of M.034 by the central axis of Prasat Tao. Brick wall partially remains on the mound. Deep looted hole is open at the center of the mound. Large tree roots entwine previously around the shrine, but this tree was cut in 2003.",details/M033.html,503971,1422512,
M034,,M034,M.34,3511,None,,B2,Ruined Independent Structure,Single shrine,Remain with the upper half of the wall,Forest,,None,None,Upper part of the wall remains. Some part of the molding decoration is confirmed on this wall. The plan is a simple rectangle without projected wall. Each sides of wall are decorated with 4 pilasters. A large vertical crack is on the north wall.,details/M034.html,503971,1422475,
M035,,M035,M.35,3511,None,,B2,Ruined Independent Structure,Single shrine,Remain with the upper half of the wall,Forest,,None,None,A partial brick wall remains on this mound. Many trees were removed in 2004.,details/M035.html,503974,1422411,
M036,,M036,M.36,3511,None,,B2,Ruined Independent Structure,Single shrine,Remain with the lower half of the roof part and looted hole,Forest,,None,None,This shrine still retains the brick structure up to the half of the roof. Plan is rectangular and projected only on the east side. Many trees which were grew on and around the shrine were removed in 2004.,details/M036.html,503976,1422395,
M037,,M037,M.37,3511,None,,B3,Mound / Structural Remains,Single shrine,Mound with brick,Forest,,None,None,Upper structure is completely missing.,details/M037.html,504011,1422337,
M038,,M038,M.38,3511,None,,B3,Mound / Structural Remains,Single shrine,Mound with brick and laterite,Forest,,None,None,Only a small mound remains.,details/M038.html,504031,1422248,
M039,,M039,M.39,3509,Trapeang Ropeak,,A1,Temple Complex,5 shrines,,,,,,"This temple complex and M.40 are called the Trapeang Ropeak group. The central shrine of this complex faces west. One of the four subsidiary shrines at the corners, the northwest shrine (Z3), remains and faces south. Although the other subsidiary shrines have completely collapsed and no structures have been confirmed, the southwest shrine (Z2), which formed a pair with Z3, can be estimated to have faced north. From 2024 to 2025, the National Authority for Sambor Prei Kuk removed accumulated deposits around the site and carried out repair works, including the consolidation of brick masonry.",details/M039.html,504047,1422127,
Z1,M039,Z1,Z1,,,Main shrine,A2,Shrine within Complex,,Remain with the top of the roof part,,,K.443,350,"Well preserved shrine. Plan of this shrine is square with two steps projection at each side. Four tiers of roof remain, and total height is approx. 17m in present condition. One of the lintel element is confirmed at the original position in an old photograph, but all of the sandstone elements not only lintel but also doorframe are now missing. One lintel that was retained at the site storage was transferred and exhibited in the National Museum at Phnom Penh. Finishing stucco remained well on the wall, in particular on the Flying Palace. Unfortunately, one of the most beautiful of stucco decoration, celestial lady, was stolen in 2007.",details/Z1.html,504031,1422129,
Z2,M039,Z2,Z2,,,South-west sub shrine,A2,Shrine within Complex,,Mound with brick,,,None,None,This is an unexcavated mound. Brick masonry is partially confirmed on the mound at the east side.,details/Z2.html,504012,1422113,
Z3,M039,Z3,Z3,,,North-west sub shrine,A2,Shrine within Complex,,Remain with the upper half of the wall and platform,,,None,None,"This building has an octagonal plan and faces south. The western corner was destroyed by the collapse of a large tree in 2002. From 2024 to 2025, restoration work was carried out by the National Authority for Sambor Prei Kuk.",details/Z3.html,504010,1422136,
Z4,M039,Z4,Z4,,,North-east sub shrine,A3,Ruined Shrine within Complex,,Mound with brick and some stone elements,,,None,565,This is an unexcavated mound. Partial brick masonry remains at the west side of the mound. One layer of square stone pedestal is scattered on the mound.,details/Z4.html,504042,1422138,
Z5,M039,Z5,Z5,,,South-east sub shrine,A3,Ruined Shrine within Complex,,Mound with brick and some stone elements,,,None,564,This is an unexcavated mound. Partial brick masonry remains at the south side. One layer of square stone pedestal is scattered on the mound.,details/Z5.html,504042,1422116,
M040,,M040,Y,3510,None,,B1,Independent Shrine,Single shrine,Remain with the upper half of the roof part,Vacant,,None,566,"This shrine has an octagonal plan and faces east. All stone elements around the doorway are missing, as in the M.039 (Z1) shrine. Small square holes are regularly arranged on the three main walls, and the brick surfaces around them were chipped, probably for the installation of decorative panels. Large tree roots entwine the shrine, and long branches were cut several times by SCP. In 2025, the National Authority for Sambor Prei Kuk carried out large-scale removal of trees from the upper part of the shrine and proceeded with clearance work to remove accumulated deposits around the building.",details/M040.html,503924,1422151,
M041,,M041,W,1715,Prasat Kouktroung,,B1,Independent Shrine,Single shrine,Remain with the upper half of the roof part,Forest,,None,None,"This shrine has a rectangular plan and faces east. The roof remains up to the second false story. The elements around the doorway, including the lintel and colonnettes, are carved from the brick wall. The southern lintel is well preserved and retains its original design in the Sambor Prei Kuk style. The motifs of the Flying Palaces have not been destroyed, making this a very rare shrine without destructive ancient renovation, similar to Prasat Tamon (M.061). This shrine remains in relatively sound condition, and dangerous trees with roots entwining the shrine were removed in 2004. However, many parts of the roof and doorway are in an extremely hazardous condition, and immediate supports should be installed at each unstable part. An aerial LiDAR survey identified traces of what appears to be a fairly large east–west elongated enclosure wall centered on this tower.",details/M041.html,504138,1421587,
M042,,M042,M.42,7499,Prasat Kong Veang,,B3,Mound / Structural Remains,Single shrine,"Mound with brick, laterite and looted hole",Forest,,"H: 0.9, NS: 9, EW: 11 (m)",None,"This is a small mound with scattered brick, laterite and pebbles. Partially brick masonry (partially mixed with laterite) remains inside the hole. This hole kept the nearly original square shape (1.9m x 1.9m).",details/M042.html,504043,1421286,
M043,,M043,M.43,7498,Changkot Sampov,,B3,Mound / Structural Remains,Big stone element with local legend,One big stone element is scattered.,Agricultural field,,"H: 2.0, NS: 8, EW: 6 (m)",567,There are no brick and laterite elements. It’s a big stone like a helm of a boat shape.,details/M043.html,503919,1420941,
M044,,M044,M.44,7554,Prasat Anlong Prasat,,B3,Mound / Structural Remains,2 shrines or continuous dike between two sites,,,,,,,details/M044.html,503993,1423485,
M044-1,M044,M044-1,M.44-1,,,Unknown,B3,Mound / Structural Remains,,Long structure made of laterite block,,,None,None,It is the 1st mound locates on the west bank of O Krou Ke river. Local people say that there are many laterite block continuing into the river.,details/M044-1.html,503876,1423598,
M044-2,M044,M044-2,M.44-2,,,Unknown,B3,Mound / Structural Remains,,Mound with brick and laterite,,,None,None,It is the 2nd mound located on the northern bank of O Mak pi.,details/M044-2.html,503968,1423504,
M045,,M045,M.45,7558,No name,,A1,Temple Complex,Central shrine and some structures are located in the brick enclosure wall.,A part of looted central shrine and some parts of enclosure walls appear above ground level.,Agricultural field (Forest),"NS: 58.3m, EW: Unknown but more than 60 (m)",None,None,"This site is located on the road to M.051 and M.052. During the construction of a detour, SCP excavated seven trenches at the complex, from M45-A to M45-G, in 2007. The enclosure wall measures approximately 60 m square. Part of the central shrine and some sections of the enclosure wall are visible above ground. The central brick shrine had been looted, and an original square shaft beneath the pavement level, measuring approximately 1.7 m square, is visible. Excavations revealed a brick enclosure wall and a laterite column structure with a laterite moonstone.
The site is located on the western bank of the O Krou Ke River. A large earthen embankment extends eastward from the site. This embankment is interpreted as a dam constructed to block the O Krou Ke River, suggesting a close relationship between the dam and this temple.",details/M045.html,503712,1423862,
